Home,People,Team
CA,"Freeman, F",NL
NJ,"Jeter, D",AL
FL,"Lucroy, J",NL
CA,"Utley, C",NL
Dominican Republic,"Ramirez, A",NL
NJ,"Trout, M",AL
KS,"Norris, D",AL
Dominican Republic,"Ramirez, A",AL
Venezuela,"Cabrera, M",AL
FL,"McCutchen, A",NL
CA,"Tulowitzki, T",NL
Cuba,"Abreu, J",AL
Dominican Republic,"Bautista, J",AL
TX,"Blackmon, C",NL
WA,"Brantley, M",AL
Dominican Republic,"Cano, R",AL
Dominican Republic,"Castro, S",NL
Cuba,"Cespedes, Y",AL
Dominican Republic,"Cruz, N",AL
FL,"Donaldson, J",AL
DE,"Goldschmidt, P",NL
Dominican Republic,"Gomez, C",NL
FL,"Gordon, D",NL
OH,"Harrison, J",NL
CA,"Jones, A",AL
AZ,"Kinsler, I",AL
PA,"Mesoraco, D",NL
Venezuela,"Montero, M",NL
GA,"Moss, B",AL
FL,"Murphy, D",NL
TX,"Pence, H",NL
Venezuela,"Perez, S",AL
Cuba,"Puig, Y",NL
FL,"Rizzo, A",NL
NC,"Seager, K",AL
CA,"Stanton, G",NL
Venezuela,"Altuve, J",AL
Dominican Republic,"Aybar, E",AL
Dominican Republic,"Beltre, A",AL
NJ,"Frazier, T",NL
HI,"Suzuki, K",AL
